epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,874.971,0.01029,1.93736,1.44482,0.51736,0.64864,0.57592,0.31808,0.0112,2.28596,1.71677,0.000848969,0.000848969,0.000848969
43,895.78,0.01008,1.8807,1.43312,0.60965,0.57188,0.57913,0.32272,0.01116,2.28856,1.72807,0.000834822,0.000834822,0.000834822
44,916.906,0.01008,1.87312,1.44205,0.60538,0.59047,0.58138,0.31284,0.01109,2.28032,1.71393,0.000820675,0.000820675,0.000820675
45,937.559,0.01004,1.84149,1.4327,0.57419,0.59098,0.57231,0.30549,0.01102,2.33829,1.69734,0.000806528,0.000806528,0.000806528
46,958.491,0.01,1.85151,1.42945,0.568,0.60772,0.57122,0.30117,0.01151,2.33199,1.73236,0.00079238,0.00079238,0.00079238
47,979.415,0.00989,1.83725,1.43145,0.5644,0.5853,0.56055,0.30237,0.01089,2.28691,1.6788,0.000778233,0.000778233,0.000778233
48,1000.06,0.00983,1.78627,1.39758,0.58869,0.60668,0.56455,0.31856,0.01099,2.36993,1.70304,0.000764086,0.000764086,0.000764086
49,1020.89,0.0098,1.81512,1.40632,0.58619,0.61949,0.60333,0.33432,0.01089,2.22574,1.69581,0.000749939,0.000749939,0.000749939
50,1041.89,0.0096,1.75165,1.3997,0.63734,0.56725,0.60173,0.32236,0.01136,2.21852,1.72693,0.000735792,0.000735792,0.000735792
51,1062.23,0.00961,1.74288,1.40494,0.65074,0.59802,0.61989,0.3354,0.01077,2.2058,1.65508,0.000721645,0.000721645,0.000721645
52,1083.08,0.00986,1.75282,1.40655,0.66293,0.58795,0.61156,0.33008,0.0111,2.23796,1.71138,0.000707498,0.000707498,0.000707498
53,1103.5,0.00966,1.7127,1.39169,0.61175,0.59073,0.5846,0.3222,0.01087,2.268,1.68544,0.000693351,0.000693351,0.000693351
54,1124.13,0.00961,1.71709,1.37549,0.65225,0.57771,0.59198,0.33195,0.01074,2.18479,1.69198,0.000679204,0.000679204,0.000679204
55,1144.8,0.00956,1.68089,1.3776,0.6009,0.5855,0.59666,0.32247,0.011,2.24376,1.67517,0.000665057,0.000665057,0.000665057
56,1165.14,0.00945,1.68141,1.36897,0.55634,0.64183,0.59032,0.33747,0.01091,2.19409,1.70235,0.000650909,0.000650909,0.000650909
57,1185.78,0.0094,1.64141,1.36219,0.63742,0.60213,0.61053,0.34295,0.01081,2.21286,1.69337,0.000636762,0.000636762,0.000636762
58,1206.25,0.0094,1.63771,1.37691,0.58973,0.64737,0.59024,0.34159,0.01097,2.167,1.69803,0.000622615,0.000622615,0.000622615
59,1226.9,0.0094,1.6141,1.36587,0.6097,0.62333,0.61736,0.34627,0.01094,2.14254,1.70788,0.000608468,0.000608468,0.000608468
60,1247.42,0.00923,1.59915,1.34072,0.62222,0.60858,0.59536,0.33786,0.01084,2.23564,1.67984,0.000594321,0.000594321,0.000594321
